AVAILABLE,VERSION,NAME,ID,ALT_EXE,ALT_RUN_MODE,ROM,VIDEOS_PATH,WEBLINK_URL,WEBLINK2_URL
YES,1.2.2,Frankenstein,Mary Shelleys Frankenstein (Sega 1995),VPinballX10_8_0_directx_64bit.exe,None,frankst,frankst,https://vpuniverse.com/files/file/5763-mary-shelleys-frankenstein-sega-1995/,None
YES,1.0.0,Freddy,Freddy A Nightmare On Elm Street (Gottlieb 1994),VPinballX10_8_0_directx_64bit.exe,None,freddy,freddy,https://vpuniverse.com/files/file/8626-freddy-a-nightmare-on-elm-street-siggis-mod/,None
YES,5.5.0,Friday the 13th,Friday the 13th,VPinballX10_8_0_directx_64bit.exe,None,None,jpsfriday13th,https://www.vpforums.org/index.php?app=downloads&showfile=16344,None
YES,2.0,Fun House,Funhouse (Williams 1990),VPinballX10_8_0_directx_64bit.exe,None,fh_905h,None,https://www.vpforums.org/index.php?app=downloads&showfile=12679,None
YES,1.2.1,Futurama,Futurama,VPinballX10_7_3_32bit.exe,None,None,futurama,https://vpuniverse.com/files/file/18010-futurama-original-2024/,None
YES,1.0.2,Game of Thrones,Game of Thrones LE (Stern 2015) VPW,VPinballX10_8_0_directx_64bit.exe,None,None,None,https://vpuniverse.com/files/file/12510-game-of-thrones-le-stern-2015-vpw/,None
YES,1.0,Getaway High Speed II,Getaway High Speed 2 (Williams 1992),VPinballX10_8_0_directx_64bit.exe,None,gw_l5,gw_l5,https://vpuniverse.com/files/file/12070-the-getaway-high-speed-ii-mod/,None
YES,latest,Ghostbusters,Ghostbusters LE (Stern 2016),VPinballX10_7_3_32bit.exe,None,spagb_100,spagb_100,None,None
YES,1.46,Gilligans Island,Gilligans Island (Bally 1991),VPinballX10_8_0_directx_64bit.exe,None,gi_l9,gi_l9,https://vpuniverse.com/files/file/16602-gilligans-island-bally-1991/,None
YES,1.0.0,Godzilla,Godzilla LE,VPinballX10_8_0_directx_64bit.exe,None,godzilla,godzilla,https://vpuniverse.com/files/file/19062-godzilla-limited-edition-dual-table-pup-marty02/,None
YES,1.2,Goldorak,Goldorak,VPinballX10_8_0_directx_64bit.exe,None,None,None,https://vpuniverse.com/files/file/11227-goldorak-vpx-edition-12/,None
YES,1.4.3,Goonies,Goonies Never Say Die Pinball (VPW 2021),VPinballX10_7_3_32bit.exe,None,None,None,https://vpuniverse.com/files/file/7819-the-goonies-never-say-die-pinball-vpw/,None
YES,1.0.0,Grease,Grease (2021),VPinballX10_8_0_directx_64bit.exe,None,elvisf,elvisf,https://vpuniverse.com/files/file/8103-grease-original-2020/,None
YES,1.7,Gremlins,Gremlins,VPinballX10_7_3_32bit.exe,None,victory,victory,https://vpuniverse.com/files/file/10546-gremlins-by-balutito/,None
YES,1.2,Guns n Roses,Guns n Roses,VPinballX10_8_0_directx_64bit.exe,None,gnr_300,gnr_300,https://vpuniverse.com/files/file/16101-guns-n-roses-vpw-edition/,None
YES,latest,Harry Potter,Harry Potter and the Goblet of Fire,VPinballX10_7_3_32bit.exe,None,None,hpgof,None,None
YES,1.2,Hellraiser,Hellraiser,VPinballX10_8_0_directx_64bit.exe,None,HellRaiser,HellRaiser,https://vpuniverse.com/files/file/11755-hellraiser/,None
YES,1.0.0,Home Alone,Home Alone,VPinballX10_8_0_directx_64bit.exe,None,None,HomeAlone,https://vpuniverse.com/files/file/8506-home-alone-table-vr-room-and-puppack/,None
